date,Open,High,Low,Close,Volume
2024-04-12 13:09:00,141.165,141.185,141.09,141.09,1863.0
2024-04-12 13:10:00,141.155,141.21,141.12,141.19,2511.0
2024-04-12 13:11:00,141.23,141.23,141.14,141.17,1315.0
2024-04-12 13:12:00,141.18,141.18,141.13,141.165,991.0
2024-04-12 13:13:00,141.155,141.155,141.1,141.105,2073.0
2024-04-12 13:14:00,141.105,141.115,141.07,141.09,1365.0
2024-04-12 13:15:00,141.07,141.19,141.06,141.165,1428.0
2024-04-12 13:16:00,141.18,141.2,141.18,141.2,281.0
2024-04-12 13:17:00,141.22,141.22,141.16,141.205,986.0
2024-04-12 13:18:00,141.205,141.205,141.165,141.165,1151.0
2024-04-12 13:19:00,141.13,141.145,141.13,141.145,809.0
2024-04-12 13:20:00,141.065,141.07,141.06,141.065,629.0
2024-04-12 13:21:00,141.02,141.06,141.0,141.06,3735.0
2024-04-12 13:22:00,141.055,141.055,141.0,141.03,2729.0
2024-04-12 13:23:00,141.0,141.08,141.0,141.08,2389.0
2024-04-12 13:24:00,141.055,141.06,141.045,141.045,1279.0
2024-04-12 13:25:00,141.065,141.13,141.065,141.13,1656.0
2024-04-12 13:26:00,141.13,141.13,141.04,141.065,2006.0
2024-04-12 13:27:00,141.075,141.075,141.075,141.075,359.0
2024-04-12 13:28:00,141.045,141.045,141.02,141.03,1477.0
2024-04-12 13:29:00,141.035,141.035,141.0,141.01,3365.0
2024-04-12 13:30:00,141.01,141.01,140.95,140.97,2284.0
2024-04-12 13:31:00,140.98,140.995,140.935,140.96,1493.0
2024-04-12 13:32:00,140.99,141.025,140.99,141.01,1643.0
2024-04-12 13:33:00,140.98,140.98,140.98,140.98,579.0
2024-04-12 13:34:00,141.07,141.07,141.03,141.055,1317.0
2024-04-12 13:35:00,141.07,141.07,141.03,141.03,754.0
2024-04-12 13:36:00,141.025,141.025,141.0,141.0,366.0
2024-04-12 13:37:00,140.97,140.99,140.97,140.978,763.0
2024-04-12 13:38:00,140.97,141.016,140.945,140.955,2224.0
2024-04-12 13:39:00,140.94,141.0,140.94,140.97,1490.0
2024-04-12 13:40:00,141.01,141.086,140.995,141.025,2387.0
2024-04-12 13:41:00,141.005,141.075,141.005,141.075,599.0
2024-04-12 13:42:00,141.12,141.12,141.12,141.12,587.0
2024-04-12 13:43:00,141.13,141.23,141.13,141.23,2085.0
2024-04-12 13:44:00,141.185,141.255,141.16,141.25,1684.0
2024-04-12 13:45:00,141.28,141.31,141.28,141.3,1426.0
2024-04-12 13:46:00,141.309,141.35,141.3,141.32,849.0
2024-04-12 13:47:00,141.42,141.455,141.38,141.415,1352.0
2024-04-12 13:48:00,141.415,141.46,141.415,141.46,1095.0
2024-04-12 13:49:00,141.45,141.5,141.45,141.45,3087.0
2024-04-12 13:50:00,141.45,141.51,141.45,141.51,982.0
2024-04-12 13:51:00,141.45,141.46,141.445,141.46,1079.0
2024-04-12 13:52:00,141.39,141.42,141.39,141.415,2197.0
2024-04-12 13:53:00,141.44,141.46,141.35,141.35,3220.0
2024-04-12 13:54:00,141.36,141.36,141.255,141.255,2704.0
2024-04-12 13:55:00,141.26,141.26,141.26,141.26,890.0
2024-04-12 13:56:00,141.243,141.243,141.242,141.243,332.0
2024-04-12 13:57:00,141.265,141.28,141.23,141.23,1428.0
2024-04-12 13:58:00,141.19,141.19,141.115,141.115,1557.0
2024-04-12 13:59:00,141.09,141.155,141.09,141.15,2062.0
2024-04-12 14:00:00,141.11,141.11,141.055,141.058,898.0
2024-04-12 14:01:00,141.01,141.035,140.96,140.97,2322.0
2024-04-12 14:02:00,140.98,141.01,140.97,140.99,1247.0
2024-04-12 14:03:00,141.021,141.021,141.005,141.01,1072.0
2024-04-12 14:04:00,140.96,141.06,140.96,141.06,1525.0
2024-04-12 14:05:00,141.06,141.205,141.06,141.205,2053.0
2024-04-12 14:06:00,141.205,141.205,141.14,141.155,1365.0
2024-04-12 14:07:00,141.27,141.31,141.27,141.31,718.0
2024-04-12 14:08:00,141.31,141.39,141.31,141.39,1546.0
2024-04-12 14:09:00,141.345,141.415,141.31,141.4,1881.0
2024-04-12 14:10:00,141.43,141.43,141.37,141.395,758.0
2024-04-12 14:11:00,141.46,141.515,141.46,141.515,1039.0
2024-04-12 14:12:00,141.51,141.544,141.44,141.455,3814.0
2024-04-12 14:13:00,141.5,141.56,141.49,141.56,1088.0
2024-04-12 14:14:00,141.56,141.56,141.56,141.56,239.0
2024-04-12 14:15:00,141.535,141.535,141.48,141.52,1534.0
2024-04-12 14:16:00,141.53,141.65,141.53,141.6,2328.0
2024-04-12 14:17:00,141.65,141.665,141.645,141.645,990.0
2024-04-12 14:18:00,141.66,141.67,141.66,141.67,574.0
2024-04-12 14:19:00,141.67,141.67,141.515,141.515,2304.0
2024-04-12 14:20:00,141.6,141.6,141.55,141.55,1423.0
2024-04-12 14:21:00,141.55,141.62,141.55,141.6,1587.0
2024-04-12 14:22:00,141.6,141.6,141.55,141.57,1160.0
2024-04-12 14:23:00,141.63,141.64,141.54,141.58,4172.0
2024-04-12 14:24:00,141.55,141.55,141.51,141.54,1570.0
2024-04-12 14:25:00,141.485,141.485,141.425,141.46,697.0
2024-04-12 14:26:00,141.44,141.455,141.42,141.42,1040.0
2024-04-12 14:27:00,141.41,141.41,141.36,141.36,1108.0
2024-04-12 14:28:00,141.365,141.425,141.365,141.38,2087.0
2024-04-12 14:29:00,141.365,141.4,141.365,141.39,1306.0
2024-04-12 14:30:00,141.39,141.39,141.335,141.355,1538.0
2024-04-12 14:31:00,141.3,141.37,141.3,141.365,1096.0
2024-04-12 14:32:00,141.32,141.32,141.25,141.25,1402.0
2024-04-12 14:33:00,141.24,141.24,141.24,141.24,361.0
2024-04-12 14:34:00,141.28,141.33,141.25,141.25,3693.0
2024-04-12 14:35:00,141.235,141.29,141.235,141.28,1084.0
2024-04-12 14:36:00,141.27,141.31,141.22,141.265,1733.0
2024-04-12 14:37:00,141.21,141.24,141.205,141.205,590.0
2024-04-12 14:38:00,141.18,141.28,141.18,141.27,2077.0
2024-04-12 14:39:00,141.21,141.26,141.21,141.22,900.0
2024-04-12 14:40:00,141.245,141.25,141.24,141.25,972.0
2024-04-12 14:41:00,141.21,141.22,141.2,141.22,1115.0
2024-04-12 14:42:00,141.29,141.4,141.29,141.37,2512.0
2024-04-12 14:43:00,141.36,141.36,141.275,141.275,986.0
2024-04-12 14:44:00,141.26,141.3,141.26,141.3,890.0
2024-04-12 14:45:00,141.29,141.31,141.19,141.19,2632.0
2024-04-12 14:46:00,141.24,141.29,141.22,141.29,1567.0
2024-04-12 14:47:00,141.21,141.21,141.15,141.18,1956.0
2024-04-12 14:48:00,141.185,141.2,141.14,141.14,1105.0
2024-04-12 14:49:00,141.17,141.19,141.16,141.19,1071.0
2024-04-12 14:50:00,141.18,141.23,141.15,141.21,2301.0
2024-04-12 14:51:00,141.23,141.25,141.18,141.18,2385.0
2024-04-12 14:52:00,141.16,141.21,141.15,141.19,2067.0
2024-04-12 14:53:00,141.21,141.24,141.21,141.24,1386.0
2024-04-12 14:54:00,141.24,141.24,141.11,141.11,2312.0
2024-04-12 14:55:00,141.14,141.165,141.14,141.145,429.0
2024-04-12 14:56:00,141.2,141.2,141.19,141.19,1232.0
2024-04-12 14:57:00,141.12,141.12,141.12,141.12,591.0
2024-04-12 14:58:00,141.12,141.12,141.05,141.05,2085.0
2024-04-12 14:59:00,141.09,141.09,141.05,141.05,906.0
2024-04-12 15:00:00,141.01,141.01,140.93,140.955,1606.0
2024-04-12 15:01:00,140.94,140.97,140.75,140.75,9788.0
2024-04-12 15:02:00,140.81,140.82,140.795,140.8,1925.0
2024-04-12 15:03:00,140.77,140.795,140.77,140.795,1209.0
2024-04-12 15:04:00,140.795,140.94,140.795,140.94,2707.0
2024-04-12 15:05:00,140.9,140.9,140.85,140.85,1247.0
2024-04-12 15:06:00,140.8,140.89,140.8,140.89,4067.0
2024-04-12 15:07:00,140.91,140.91,140.85,140.85,903.0
2024-04-12 15:08:00,140.86,140.86,140.82,140.85,839.0
2024-04-12 15:09:00,140.85,140.94,140.83,140.93,2397.0
2024-04-12 15:10:00,140.95,140.95,140.898,140.92,2289.0
2024-04-12 15:11:00,140.96,140.96,140.93,140.96,1350.0
2024-04-12 15:12:00,140.93,140.93,140.87,140.88,1474.0
2024-04-12 15:13:00,140.86,140.86,140.79,140.825,2550.0
2024-04-12 15:14:00,140.81,140.81,140.75,140.75,1196.0
2024-04-12 15:15:00,140.69,140.71,140.67,140.67,1973.0
2024-04-12 15:16:00,140.68,140.73,140.68,140.708,991.0
2024-04-12 15:17:00,140.73,140.75,140.63,140.645,1915.0
2024-04-12 15:18:00,140.675,140.675,140.64,140.64,819.0
2024-04-12 15:19:00,140.68,140.78,140.68,140.7,3288.0
2024-04-12 15:20:00,140.7,140.76,140.7,140.725,1453.0
2024-04-12 15:21:00,140.73,140.735,140.68,140.68,1812.0
2024-04-12 15:22:00,140.7,140.71,140.67,140.67,1110.0
2024-04-12 15:23:00,140.72,140.72,140.64,140.64,1331.0
2024-04-12 15:24:00,140.72,140.765,140.72,140.735,2349.0
2024-04-12 15:25:00,140.77,140.8,140.715,140.715,1821.0
2024-04-12 15:26:00,140.71,140.71,140.64,140.64,1757.0
2024-04-12 15:27:00,140.67,140.68,140.64,140.645,1264.0
2024-04-12 15:28:00,140.645,140.68,140.6,140.64,9683.0
2024-04-12 15:29:00,140.655,140.655,140.58,140.62,2536.0
2024-04-12 15:30:00,140.62,140.62,140.52,140.52,2277.0
2024-04-12 15:31:00,140.54,140.66,140.51,140.64,2881.0
2024-04-12 15:32:00,140.67,140.745,140.67,140.69,2266.0
2024-04-12 15:33:00,140.72,140.75,140.66,140.71,3410.0
2024-04-12 15:34:00,140.72,140.733,140.7,140.73,1005.0
2024-04-12 15:35:00,140.71,140.71,140.59,140.59,2112.0
2024-04-12 15:36:00,140.595,140.595,140.532,140.532,1981.0
2024-04-12 15:37:00,140.51,140.51,140.44,140.44,2334.0
2024-04-12 15:38:00,140.42,140.42,140.33,140.36,2488.0
2024-04-12 15:39:00,140.34,140.34,140.31,140.325,1136.0
2024-04-12 15:40:00,140.28,140.435,140.26,140.43,7295.0
2024-04-12 15:41:00,140.445,140.73,140.445,140.73,5080.0
2024-04-12 15:42:00,140.74,140.78,140.7,140.78,2152.0
2024-04-12 15:43:00,140.81,140.925,140.81,140.925,1968.0
2024-04-12 15:44:00,140.89,140.955,140.88,140.955,2445.0
2024-04-12 15:45:00,140.92,140.98,140.885,140.885,12596.0
2024-04-12 15:46:00,140.865,140.88,140.83,140.83,1827.0
2024-04-12 15:47:00,140.82,140.83,140.64,140.64,3760.0
2024-04-12 15:48:00,140.66,140.71,140.61,140.61,6623.0
2024-04-12 15:49:00,140.62,140.71,140.62,140.665,3859.0
2024-04-12 15:50:00,140.74,140.74,140.57,140.57,5786.0
2024-04-12 15:51:00,140.575,140.685,140.575,140.61,3048.0
2024-04-12 15:52:00,140.58,140.58,140.47,140.535,7275.0
2024-04-12 15:53:00,140.51,140.51,140.41,140.435,7517.0
2024-04-12 15:54:00,140.44,140.48,140.38,140.38,10184.0
2024-04-12 15:55:00,140.375,140.475,140.375,140.475,16091.0
2024-04-12 15:56:00,140.46,140.46,140.33,140.39,15150.0
2024-04-12 15:57:00,140.42,140.45,140.385,140.39,18670.0
2024-04-12 15:58:00,140.4,140.5,140.39,140.46,24298.0
2024-04-12 15:59:00,140.478,140.77,140.475,140.73,49807.0
2024-04-12 16:00:00,140.73,140.74,140.73,140.73,345255.0
2024-04-12 16:01:00,140.87,140.87,140.73,140.73,1307.0
2024-04-12 16:02:00,140.73,140.74,140.73,140.73,20301.0
2024-04-12 16:03:00,140.73,140.73,140.73,140.73,2501.0
2024-04-12 16:04:00,140.73,140.73,140.45,140.73,1788.0
2024-04-12 16:05:00,140.73,140.73,140.73,140.73,2415.0
2024-04-12 16:10:00,140.73,140.73,140.73,140.73,156903.0
2024-04-12 16:20:00,140.73,140.73,140.73,140.73,5339.0
2024-04-12 18:30:00,140.73,140.73,140.73,140.73,156903.0
2024-04-12 19:00:00,140.73,140.73,140.73,140.73,156903.0
2024-04-12 19:35:00,140.72,140.72,140.72,140.72,1.0
2024-04-15 07:50:00,140.74,140.74,140.74,140.74,3.0
2024-04-15 08:00:00,140.76,140.76,140.73,140.73,54.0
2024-04-15 08:01:00,140.73,140.73,140.73,140.73,48.0
2024-04-15 08:02:00,140.73,140.73,140.73,140.73,1.0
2024-04-15 08:03:00,140.73,140.73,140.73,140.73,2.0
2024-04-15 08:25:00,140.73,140.73,140.73,140.73,2.0
2024-04-15 09:12:00,142.25,142.25,142.24,142.24,12.0
2024-04-15 09:16:00,142.13,142.81,142.12,142.52,11.0
2024-04-15 09:21:00,141.98,141.98,141.98,141.98,5.0
2024-04-15 09:30:00,142.31,143.25,142.31,143.25,18374.0
2024-04-15 09:31:00,142.26,142.285,142.26,142.285,399.0
2024-04-15 09:32:00,142.28,142.37,142.02,142.04,1292.0
2024-04-15 09:33:00,142.04,142.29,142.04,142.195,2338.0
2024-04-15 09:34:00,142.08,142.6,142.08,142.485,2393.0
2024-04-15 09:35:00,142.465,142.63,142.16,142.415,20341.0
2024-04-15 09:36:00,142.375,142.61,142.27,142.495,10695.0
2024-04-15 09:37:00,142.525,142.58,142.38,142.41,2117.0
2024-04-15 09:38:00,142.385,142.385,141.98,141.98,2864.0
2024-04-15 09:39:00,142.005,142.13,141.715,141.715,1322.0
2024-04-15 09:40:00,141.73,141.86,141.69,141.845,1114.0
2024-04-15 09:41:00,141.96,142.0,141.83,142.0,1176.0
2024-04-15 09:42:00,142.025,142.12,141.95,141.96,1234.0
2024-04-15 09:43:00,142.06,142.06,141.77,141.835,2179.0
2024-04-15 09:44:00,141.85,142.04,141.85,141.94,1469.0
2024-04-15 09:45:00,141.92,142.01,141.845,141.845,2347.0
2024-04-15 09:46:00,141.805,141.805,141.77,141.77,421.0
2024-04-15 09:47:00,141.84,141.86,141.84,141.855,1478.0
2024-04-15 09:48:00,141.855,142.035,141.8,142.03,2465.0
2024-04-15 09:49:00,142.05,142.05,142.01,142.01,737.0
2024-04-15 09:50:00,142.01,142.015,141.885,141.895,1190.0
2024-04-15 09:51:00,141.8,141.82,141.725,141.75,2282.0
2024-04-15 09:52:00,141.77,141.86,141.73,141.77,3693.0
2024-04-15 09:53:00,141.785,141.88,141.665,141.88,5008.0
2024-04-15 09:54:00,141.93,141.98,141.9,141.935,2092.0
2024-04-15 09:55:00,141.92,141.99,141.82,141.88,4477.0
2024-04-15 09:56:00,141.77,141.77,141.675,141.675,804.0
2024-04-15 09:57:00,141.74,141.75,141.74,141.74,749.0
2024-04-15 09:58:00,141.72,141.94,141.72,141.76,2389.0
2024-04-15 09:59:00,141.71,141.985,141.71,141.98,16689.0
2024-04-15 10:00:00,141.985,142.0,141.86,141.9,7174.0
2024-04-15 10:01:00,141.885,141.885,141.65,141.705,2886.0
2024-04-15 10:02:00,141.775,141.775,141.635,141.635,2619.0
2024-04-15 10:03:00,141.5,141.525,141.47,141.48,3717.0
2024-04-15 10:04:00,141.49,141.511,141.39,141.44,3049.0
2024-04-15 10:05:00,141.35,141.35,141.07,141.14,5945.0
2024-04-15 10:06:00,141.095,141.145,140.96,141.025,2550.0
2024-04-15 10:07:00,141.04,141.04,140.84,140.95,5231.0
2024-04-15 10:08:00,140.933,140.96,140.9,140.96,921.0
2024-04-15 10:09:00,140.875,140.875,140.74,140.76,2893.0
2024-04-15 10:10:00,140.76,140.76,140.48,140.555,2498.0
2024-04-15 10:11:00,140.56,140.65,140.55,140.56,1286.0
