datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 06:37:38,55.812,5,1,9.188000000000002,0,0,0.0
20230910 06:37:43,55.937,5,1,9.188000000000002,0,0,0.0
20230910 06:37:48,56.0,5,1,9.063000000000002,0,0,0.0
20230910 06:37:53,56.062,5,1,9.0,0,0,0.0
20230910 06:37:58,56.062,5,1,8.938000000000002,0,0,0.0
20230910 06:38:03,56.187,5,1,8.938000000000002,0,0,0.0
20230910 06:38:08,56.25,5,1,8.813000000000002,0,0,0.0
20230910 06:38:13,56.312,5,1,8.75,0,0,0.0
20230910 06:38:18,56.312,5,1,8.688000000000002,0,0,0.0
20230910 06:38:23,56.437,5,1,8.688000000000002,0,0,0.0
20230910 06:38:28,56.5,5,1,8.563000000000002,0,0,0.0
20230910 06:38:34,56.562,5,1,8.438000000000002,0,0,0.0
20230910 06:38:39,56.562,5,1,8.438000000000002,0,0,0.0
20230910 06:38:44,56.687,5,1,8.438000000000002,0,0,0.0
20230910 06:38:49,56.75,5,1,8.313000000000002,0,0,0.0
20230910 06:38:54,56.812,5,1,8.25,0,0,0.0
20230910 06:38:59,56.875,5,1,8.188000000000002,0,0,0.0
20230910 06:39:06,56.937,5,1,8.063000000000002,0,0,0.0
20230910 06:39:11,57.0,5,1,8.063000000000002,0,0,0.0
20230910 06:39:16,57.125,5,1,8.0,0,0,0.0
20230910 06:39:22,57.125,5,1,7.875,0,0,0.0
20230910 06:39:27,57.125,5,1,7.875,0,0,0.0
20230910 06:39:33,57.125,5,1,7.875,0,0,0.0
20230910 06:39:38,57.375,5,1,7.875,0,0,0.0
20230910 06:39:43,57.437,5,1,7.625,0,0,0.0
20230910 06:39:48,57.437,5,1,7.563000000000002,0,0,0.0
20230910 06:39:53,57.5,5,1,7.563000000000002,0,0,0.0
20230910 06:40:00,57.562,5,1,7.438000000000002,0,0,0.0
20230910 06:40:05,57.625,5,1,7.438000000000002,0,0,0.0
20230910 06:40:10,57.75,5,1,7.375,0,0,0.0
